"","x"
"compensation for",17920
"compensation to",17880
"compensation and",17878
"compete with",17950
"compete in",17944
"compete for",17920
"competing in",17933
"competing for",17932
"competing with",17925
"competition for",17894
"competition and",17890
"competition in",17891
"competitive and",17891
"competitive advantage",17889
"competitive in",17879
"complain about",17983
"complain that",17910
"complain of",17874
"complained that",17967
"complained about",17960
"complained to",17939
"complaining about",17985
"complaining of",17904
"complaining that",17905
"complaint about",17909
"complaint against",17906
"complaint with",17907
"complaints about",17948
"complaints from",17929
"complaints and",17917
"complete with",17937
"complete the",17935
"complete a",17890
"completed the",17939
"completed a",17936
"completed in",17932
"completely different",17926
"completely and",17870
"completely agree",17864
"complex and",17941
"complex in",17923
"complex the",17873
"complicated and",17942
"complicated than",17917
"complicated by",17917
"compliment to",17921
"compliment the",17919
"compliment and",17916
"components of",17982
"components and",17954
"components are",17925
"comprehensive immigration",17942
"comprehensive plan",17932
"comprehensive and",17925
"compromise on",17937
"compromise with",17936
"compromise and",17935
"computer and",17942
"computer to",17914
"computer science",17909
"computers and",17977
"computers are",17937
"computers in",17922
"concentration of",18008
"concentration camp",17971
"concentration and",17966
"concept of",18018
"concept and",17941
"concept is",17932
"concepts of",17978
"concepts and",17977
"concepts that",17954
"concern about",17987
"concern for",17978
"concern is",17969
"concerned about",18032
"concerned with",17992
"concerned that",17991
"concerns about",18019
"concerns that",17971
"concerns and",17954
"concert in",17966
"concert at",17965
"concert and",17945
"conclusion that",18021
"conclusion of",18000
"conclusion to",17968
"condemned the",18029
"condemned to",18000
"condemned by",17995
"condition of",18022
"condition that",17972
"condition and",17972
"conditions and",17980
"conditions of",17974
"conditions in",17974
"conduct a",18004
"conduct the",17977
"conduct and",17972
"conducted by",18039
"conducted a",18000
"conducted in",18001
"conference in",17994
"conference call",17977
"conference and",17959
"confidence in",18046
"confidence and",18019
"confidence that",17996
"confident that",18044
"confident in",18018
"confident and",18002
"confirm that",18054
"confirm the",18028
"confirm or",17994
"confirmed that",18045
"confirmed the",18024
"confirmed by",18000
"conflict of",18029
"conflict with",18026
"conflict and",18011
"confronted with",18075
"confronted by",18063
"confronted him",18010
"confused and",18023
"confused with",18021
"confused by",17999
"congrats to",18082
"congrats on",18069
"congrats and",17969
"congratulations to",18090
"congratulations on",18047
"congratulations you",17979
"congress to",18030
"congress and",18024
"congress in",18004
"congressional district",18053
"congressional districts",18021
"congressional budget",18009
"connect with",18096
"connect to",18047
"connect the",18022
"connected to",18105
"connected with",18067
"connected by",17999
"connecting with",18084
"connecting the",18038
"connecting to",18030
"connection with",18093
"connection to",18080
"connection between",18055
"connections to",18072
"connections with",18041
"connections and",18037
"conscious of",18088
"conscious decision",18047
"conscious and",18028
"consciousness and",18062
"consciousness of",18045
"consciousness is",18036
"consecutive games",18070
"consecutive year",18042
"consecutive years",18027
"consensus on",18087
"consensus is",18056
"consensus that",18038
"consent agreement",18099
"consent of",18070
"consent to",18071
"consequences of",18118
"consequences for",18070
"consequences and",18020
"conservative and",18043
"conservative party",18026
"conservative in",18005
"conservatives who",18072
"conservatives and",18066
"conservatives are",18046
"consider the",18096
"consider it",18067
"consider a",18062
"consideration of",18091
"consideration for",18085
"consideration and",18075
"considered a",18105
"considered the",18082
"considered to",18062
"considering the",18114
"considering a",18079
"considering that",18080
"considers the",18126
"considers it",18082
"considers himself",18069
"consistency of",18110
"consistency is",18087
"consistency and",18086
"consistent with",18141
"consistent and",18075
"consistent in",18067
"conspiracy to",18148
"conspiracy theories",18101
"conspiracy and",18101
"constant and",18044
"constant in",18039
"constant battle",18033
"constantly and",18054
"constantly changing",18044
"constantly on",18045
"constitution and",18110
"constitution of",18086
"constitution to",18084
"constitutional amendment",18137
"constitutional rights",18126
"constitutional law",18104
"constructed in",18118
"constructed to",18099
"constructed from",18096
"construction of",18125
"construction and",18103
"construction on",18080
"consultant for",18115
"consultant to",18113
"consultant and",18112
"consulting firm",18167
"consulting with",18116
"consulting and",18093
"consumed by",18155
"consumed with",18139
"consumed in",18115
"consumer spending",18114
"consumer confidence",18095
"consumer products",18085
"consumers are",18119
"consumers to",18120
"consumers and",18114
"consumption of",18168
"consumption and",18124
"consumption in",18106
"contact with",18164
"contact me",18151
"contact us",18132
"contacted the",18171
"contacted by",18168
"contacted me",18148
"contain the",18161
"contain a",18139
"contain it",18090
"contained in",18184
"contained a",18149
"contained the",18122
"container of",18159
"container and",18142
"container with",18139
"contains a",18179
"contains the",18158
"contains some",18114
"content is",18144
"content and",18143
"content to",18141
"contest and",18131
"contest is",18131
"contest to",18121
"context of",18210
"context is",18135
"context and",18134
"continue to",18246
"continue the",18135
"continue with",18101
"continued to",18227
"continued on",18126
"continued the",18123
"continues to",18252
"continues the",18118
"continues on",18111
"continuing to",18229
"continuing the",18168
"continuing education",18145
"contract with",18189
"contract to",18155
"contract for",18151
"contracts with",18184
"contracts and",18182
"contracts to",18170
"contrast to",18230
"contrast with",18181
"contrast the",18178
"contribute to",18258
"contribute a",18145
"contribute more",18141
"contributions to",18230
"contributions from",18210
"contributions of",18174
"control of",18215
"control and",18182
"control over",18181
"controlled by",18241
"controlled substance",18191
"controlled the",18191
"controls the",18215
"controls and",18192
"controls are",18171
"convenience store",18242
"convenience of",18224
"convenience stores",18195
"convenient to",18206
"convenient for",18203
"convenient and",18195
"convention center",18254
"convention in",18215
"convention and",18203
"conversation with",18234
"conversation about",18198
"conversation and",18189
"conversations with",18244
"conversations and",18202
"conversations about",18199
"converted to",18257
"converted into",18249
"converted a",18205
"convicted of",18279
"convicted in",18226
"convicted on",18200
"conviction that",18228
"conviction and",18221
"conviction for",18217
"convince the",18234
"convince me",18224
"convince my",18213
"convinced that",18278
"convinced me",18225
"convinced the",18217
"cook for",18235
"cook until",18217
"cook the",18211
"cooked in",18225
"cooked through",18221
"cooked and",18210
"cookie dough",18233
"cookie sheet",18216
"cookie cutter",18208
"cookies and",18249
"cookies are",18206
"cookies for",18204
"cooking and",18228
"cooking spray",18207
"cooking up",18200
"cool and",18209
"cool i",18209
"cool to",18210
"cooler than",18273
"cooler and",18226
"cooler in",18207
"cooling system",18249
"cooling rack",18247
"cooling water",18243
"cooperation with",18293
"cooperation and",18259
"cooperation from",18247
"coordinator for",18268
"coordinator of",18236
"coordinator and",18233
"cop out",18235
"cop and",18228
"cop cars",18222
"copies of",18343
"copies and",18230
"copies in",18223
"cops and",18273
"cops are",18257
"cops on",18220
"copy of",18344
"copy and",18237
"copy to",18211
"copyright infringement",18264
"copyright and",18255
"copyright law",18249
"core of",18305
"core and",18236
"core values",18222
"corn and",18288
"corn syrup",18282
"corn tortillas",18235
"corner of",18333
"corner and",18271
"corner i",18225
"corp and",18282
"corp said",18257
"corp the",18257
"corporate tax",18255
"corporate america",18241
"corporate and",18241
"corporation and",18274
"corporation is",18269
"corporation that",18260
"corporations and",18318
"corporations are",18292
"corporations to",18268
"correct the",18259
"correct answer",18251
"correct to",18249
"corrections officer",18296
"corrections and",18287
"corrections department",18287
"corruption and",18318
"corruption in",18299
"corruption charges",18276
"cost of",18350
"cost to",18286
"cost the",18277
"costs and",18312
"costs of",18310
"costs for",18295
"couch and",18318
"couch with",18291
"couch to",18291
"cough cough",18317
"cough and",18310
"cough up",18296
"could be",18343
"could have",18317
"could not",18298
"couldnt be",18317
"couldnt get",18315
"couldnt have",18306
"couldn’t be",18308
"couldn’t have",18308
"couldn’t get",18306
"council members",18324
"council of",18303
"council and",18293
"counsel for",18329
"counsel to",18326
"counsel and",18324
"count on",18346
"count of",18327
"count the",18326
"counted on",18345
"counted as",18331
"counted in",18310
"counter to",18336
"counter and",18336
"counter the",18318
"counties and",18343
"counties in",18317
"counties the",18302
"counting on",18372
"counting down",18369
"counting the",18364
"countless hours",18348
"countless other",18335
"countless times",18336
"countries and",18335
"countries in",18327
"countries that",18316
"country and",18340
"country in",18307
"country music",18308
"counts of",18412
"counts as",18345
"counts and",18326
"county and",18318
"county sheriffs",18306
"county executive",18303
"couple of",18443
"couple weeks",18320
"couple days",18319
"couples are",18340
"couples who",18341
"couples to",18339
"courage to",18424
"courage and",18390
"courage is",18359
"course i",18362
"course of",18362
"course the",18358
"courses and",18378
"courses in",18354
"courses for",18344
"court in",18359
"court of",18357
"court judge",18345
"courts and",18373
"courts have",18362
"courts to",18358
"cousin of",18354
"cousin and",18352
"cousin is",18348
"cousins and",18381
"cousins in",18348
"cousins are",18338
"cover the",18400
"cover of",18380
"cover and",18376
"coverage of",18418
"coverage for",18391
"coverage and",18367
"covered in",18434
"covered with",18413
"covered by",18412
"covering the",18444
"covering up",18384
"covering a",18375
"covers the",18409
"covers and",18389
"covers of",18378
"crack down",18396
"crack me",18392
"crack the",18392
"cracked the",18414
"cracked and",18398
"cracked up",18397
"cracking up",18449
"cracking down",18424
"cracking me",18411
"craft beer",18432
"craft room",18388
"craft and",18387
"crap i",18404
"crap out",18395
"crap and",18375
"crash in",18401
"crash course",18389
"crash and",18385
"crashed into",18465
"crashed in",18414
"crashed and",18405
"crawl in",18415
"crawl into",18409
"crawl back",18403
"crazy but",18394
"crazy and",18382
"crazy i",18375
"cream and",18433
"cream cheese",18433
"cream of",18377
"create a",18490
"create the",18428
"create an",18409
"created a",18470
"created by",18452
"created the",18439
"creates a",18497
"creates an",18440
"creates the",18439
"creating a",18496
"creating the",18438
"creating an",18425
"creation of",18495
"creation and",18437
"creation is",18419
"creations and",18435
"creations for",18419
"creations of",18417
"creative and",18434
"creative writing",18428
"creative process",18400
"creativity and",18488
"creativity is",18438
"creativity in",18425
"creature of",18446
"creature that",18438
"creature in",18429
"creatures in",18458
"creatures of",18454
"creatures and",18451
"credit card",18488
"credit for",18481
"credit cards",18466
"credited with",18528
"credited the",18476
"credited to",18469
"credits and",18471
"credits to",18461
"credits for",18452
"creek and",18452
"creek road",18430
"creek in",18413
"crew of",18453
"crew members",18447
"crew and",18442
"crews are",18480
"crews were",18471
"crews will",18458
"cried when",18491
"cried and",18473
"cried out",18465
"cries of",18503
"cries out",18494
"cries for",18482
"crime and",18487
"crime scene",18463
"crime in",18447
"crimes and",18496
"crimes against",18490
"crimes in",18471
"criminal charges",18494
"criminal justice",18494
"criminal investigation",18464
"crisis in",18485
"crisis and",18483
"crisis the",18457
"critical to",18504
"critical of",18497
"critical condition",18484
"criticism of",18535
"criticism from",18513
"criticism that",18488
"critics of",18518
"critics say",18507
"critics have",18493
"cross the",18523
"cross country",18508
"cross and",18480
"crossed the",18553
"crossed for",18508
"crossed that",18482
"crossing the",18560
"crossing my",18494
"crossing fingers",18473
"crowd of",18532
"crowd and",18491
"crowd at",18485
"crowds of",18525
"crowds and",18501
"crowds that",18481
"crown of",18517
"crown heights",18499
"crown and",18483
"crucial to",18546
"crucial for",18498
"crucial role",18491
"cruise ship",18530
"cruise ships",18504
"cruise lines",18503
"crush on",18585
"crush the",18512
"crush of",18496
"cruz and",18532
"cruz said",18511
"cruz mountains",18509
"cry for",18515
"cry and",18508
"cry from",18503
"crying and",18531
"crying in",18520
"crying out",18514
"crystal clear",18558
"crystal ball",18514
"crystal cathedral",18507
"cubs are",18507
"cubs fans",18508
"cubs in",18509
"cultural and",18531
"cultural center",18524
"cultural heritage",18509
"culture of",18565
"culture and",18563
"culture in",18524
"cup of",18601
"cup and",18502
"cup in",18492
"cupcakes and",18550
"cupcakes for",18541
"cupcakes are",18528
"cups of",18605
"cups and",18548
"cups water",18511
"cure for",18604
"cure is",18527
"cure the",18528
"curious about",18592
"curious to",18585
"curious and",18543
"current and",18532
"current state",18508
"current system",18492
"currently in",18562
"currently on",18539
"currently the",18540
"curse of",18598
"curse you",18569
"curse and",18550
"curve of",18587
"curve in",18563
"curve and",18560
"custody of",18618
"custody and",18566
"custody for",18563
"customer service",18638
"customer base",18543
"customer support",18532
"customers and",18575
"customers to",18574
"customers who",18565
"cut the",18594
"cut out",18575
"cut off",18568
"cute and",18586
"cute little",18571
"cute i",18554
"cuts to",18613
"cuts and",18604
"cuts in",18597
"cutting the",18600
"cutting edge",18590
"cutting it",18570
"cuyahoga county",18697
"cuyahoga countys",18575
"cuyahoga valley",18574
"cuz i",18651
"cuz im",18602
"cuz he",18576
"cycle of",18643
"cycle and",18571
"cycle in",18564
"d and",18554
"d i",18555
"d d",18524
"da vinci",18588
"da best",18571
"da man",18564
"dad and",18615
"dad is",18603
"dad was",18596
"daddy and",18615
"daddy i",18581
"daddy is",18578
"daily basis",18609
"daily news",18600
"daily life",18590
"dairy queen",18638
"dairy products",18636
"dairy free",18612
"dale carnegie",18628
"dale oen",18607
"dale sveum",18601
"dallas cowboys",18605
"dallas and",18604
"dallas mavericks",18600
"damage to",18659
"damage the",18614
"damage and",18609
"damaged by",18648
"damaged the",18627
"damaged and",18620
"damn i",18639
"damn it",18610
"damn you",18609
"dan and",18596
"dan gilbert",18590
"dan brown",18563
"dance and",18623
"dance with",18622
"dance floor",18612
"danced with",18661
"danced and",18649
"danced to",18650
"dancers and",18659
"dancers are",18631
"dancers who",18625
"dancing with",18679
"dancing in",18654
"dancing and",18650
"danger of",18703
"danger to",18669
"danger and",18646
"dangerous and",18643
"dangerous to",18643
"dangerous for",18612
"daniel and",18630
"daniel bryan",18620
"daniel descalso",18621
"dare to",18703
"dare you",18702
"dare i",18673
"dark and",18666
"dark side",18638
"dark chocolate",18638
"darkness and",18676
"darkness of",18669
"darkness in",18645
"data from",18657
"data and",18647
"data to",18644
"date with",18666
"date and",18657
"date of",18657
"dates and",18689
"dates to",18675
"dates for",18665
"dating back",18700
"dating to",18687
"dating a",18663
"daughter and",18687
"daughter of",18673
"daughter is",18667
"daughters and",18691
"daughters of",18659
"daughters to",18651
"dave and",18670
"dave matthews",18653
"dave bing",18648
"david and",18644
"david stern",18625
"david cameron",18619
"davis said",18691
"davis and",18687
"davis is",18674
"dawn of",18715
"dawn and",18668
"dawn to",18657
"day of",18690
"day and",18681
"day to",18680
"days of",18711
"days and",18686
"days in",18677
"dc in",18685
"dc and",18671
"dc for",18670
"de mayo",18746
"de la",18722
"de facto",18650
"dead and",18700
"dead in",18697
"dead at",18681
"deadline for",18760
"deadline to",18737
"deadline is",18727
"deal with",18782
"deal of",18706
"deal to",18693
"dealer reporter",18735
"dealer in",18714
"dealer and",18704
"deals with",18760
"deals on",18729
"deals and",18716
"dean of",18762
"dean and",18715
"dean martin",18699
"dear friend",18719
"dear friends",18700
"dear god",18695
"death of",18765
"death and",18730
"death in",18727
"deaths of",18776
"deaths in",18746
"deaths and",18739
"debate over",18749
"debate about",18732
"debate on",18732
"debating whether",18775
"debating the",18769
"debating on",18762
"debt crisis",18755
"debt and",18750
"debt ceiling",18734
"debut album",18764
"debut in",18754
"debut of",18749
"dec and",18746
"dec th",18740
"dec at",18739
"decade ago",18776
"decade of",18763
"decade and",18742
"decades of",18778
"decades ago",18776
"decades and",18744
"december and",18761
"december th",18748
"december the",18742
"decide to",18817
"decide whether",18775
"decide what",18772
"decided to",18861
"decided that",18788
"decided i",18739
"deciding to",18817
"deciding whether",18794
"deciding what",18785
"decision to",18820
"decision was",18746
"decision and",18745
"decisions and",18767
"decisions about",18762
"decisions on",18760
"deck and",18780
"deck of",18781
"deck is",18749
"declare that",18804
"declare the",18789
"declare a",18773
"declared that",18806
"declared the",18804
"declared a",18795
"decline in",18850
"decline of",18796
"decline and",18771
"declined to",18891
"declined comment",18769
"declined percent",18724
"dedicated to",18881
"dedicated and",18761
"dedicated the",18732
"deep in",18795
"deep and",18786
"deep breath",18783
"deeper into",18823
"deeper than",18813
"deeper and",18802
"deeply about",18784
"deeply into",18780
"deeply and",18773
"deer and",18819
"deer hunting",18779
"deer valley",18780
"def a",18765
"def need",18764
"def not",18765
"defeat the",18839
"defeat of",18825
"defeat and",18797
"defeated the",18840
"defeated by",18819
"defeated and",18779
"defend the",18863
"defend himself",18817
"defend their",18806
"defendant in",18827
"defendant is",18822
"defendant and",18816
"defenders of",18835
"defenders in",18824
"defenders office",18821
"defending champion",18857
"defending the",18854
"defending a",18795
"defense and",18825
"defense of",18818
"defense attorney",18811
"defensive end",18869
"defensive tackle",18848
"defensive coordinator",18838
"deficit in",18844
"deficit to",18841
"deficit and",18830
"define the",18885
"define your",18820
"define it",18816
"defined by",18896
"defined as",18881
"defined in",18836
"definitely a",18850
"definitely not",18836
"definitely be",18825
"definition of",18940
"definition is",18815
"definition for",18802
"degree in",18897
"degree of",18869
"degree from",18838
"degrees in",18867
"degrees and",18854
"degrees f",18834
"del mar",18880
"del rey",18867
"del negro",18856
"delay in",18879
"delay the",18861
"delay and",18839
"delayed the",18864
"delayed by",18857
"delayed for",18839
"delegates to",18888
"delegates in",18861
"delegates and",18852
"delete the",18890
"delete it",18890
"delete my",18867
"deleted my",18890
"deleted it",18885
"deleted the",18873
"delicious and",18871
"delicious i",18832
"delicious food",18823
"delight in",18904
"delight of",18877
"delight to",18869
"delighted to",18961
"delighted by",18891
"delighted that",18892
"deliver the",18911
"deliver a",18908
"deliver on",18860
"delivered to",18919
"delivered a",18909
"delivered the",18885
"delivery of",18911
"delivery and",18883
"delivery to",18852
"delta air",18906
"delta airlines",18871
"delta and",18872
"demand for",18947
"demand that",18892
"demand a",18876
"demanded that",18934
"demanded a",18929
"demanded the",18899
"demanding that",18926
"demanding a",18903
"demanding the",18893
"demands of",18940
"demands for",18912
"demands that",18913
"democracy and",18939
"democracy is",18920
"democracy in",18906
"democrat who",18914
"democrat and",18913
"democrat from",18908
"democratic party",18930
"democratic primary",18883
"democratic rep",18876
"democrats and",18927
"democrats in",18909
"democrats are",18906
"demonstrate that",18963
"demonstrate the",18947
"demonstrate how",18929
"demonstrated that",18952
"demonstrated the",18940
"demonstrated a",18927
"denied the",18955
"denied that",18934
"denied any",18913
"denver and",18903
"denver post",18903
"denver broncos",18895
"deny the",18961
"deny that",18958
"deny it",18947
"department of",19001
"department and",18915
"department said",18906
"departments and",18940
"departments in",18916
"departments of",18911
"depends on",19044
"depends upon",18923
"depends how",18884
"depressed and",18955
"depressed i",18928
"depressed or",18926
"depression and",18986
"depression in",18909
"depression or",18909
"depth of",19000
"depth and",18980
"depth chart",18944
"deputies were",18958
"deputies said",18949
"deputies and",18933
"deputy director",18974
"deputy chief",18964
"deputy district",18940
"derby day",18948
"derby winner",18923
"derby and",18916
"derek jeter",18989
"derek fisher",18959
"derek lowe",18942
"describe the",19005
"describe it",18980
"describe how",18972
"described as",19032
"described the",19007
"described in",18973
"describes the",19017
"describes as",18975
"describes a",18975
"describing the",19033
"describing it",18970
"describing a",18966
"description of",19049
"description and",18955
"description is",18936
"desert and",18969
"desert in",18943
"desert island",18930
"deserve to",19023
"deserve it",19020
"deserve a",19000
"deserved to",19008
"deserved it",19006
"deserved a",18981
"deserves a",19034
"deserves to",19029
"deserves it",18995
"design and",19000
"design team",18987
"design of",18962
"designated hitter",19030
"designated as",19009
"designated for",19008
"designed to",19080
"designed by",19021
"designed for",19017
"designer and",18996
"designer for",18973
"designer paper",18969
"designers and",19026
"designers are",18993
"designers to",18979
"designing a",19043
"designing the",19025
"designing and",19018
"designs and",19020
"designs for",18990
"designs in",18985
"desire to",19097
"desire for",19037
"desire and",18997
"desk and",19027
"desk for",18987
"desk is",18981
"desperate to",19054
"desperate for",19046
"desperate need",19038
"desperately need",19043
"desperately needed",19044
"desperately to",19038
"despite the",19089
"despite a",19019
"despite being",19009
"dessert and",19003
"dessert is",18991
"dessert i",18987
"destination for",19053
"destination and",19018
"destination in",18998
"destroy the",19090
"destroy it",19018
"destroy a",19002
"destroyed by",19056
"destroyed the",19057
"destroyed in",19027
"detail and",19041
"detail of",19029
"detail about",19026
"detailed the",19020
"detailed and",19016
"detailed in",19014
"details of",19077
"details on",19041
"details about",19035
"determination to",19099
"determination and",19080
"determination of",19051
"determine the",19099
"determine whether",19086
"determine if",19074
"determined to",19126
"determined that",19086
"determined by",19067
"detroit and",19042
"detroit tigers",19017
"detroit lions",19010
"develop a",19107
"develop the",19070
"develop and",19056
"developed a",19113
"developed by",19064
"developed in",19056
"developer and",19059
"developer to",19060
"developer of",19050
"developers and",19081
"developers to",19076
"developers of",19053
"developing a",19106
"developing the",19077
"developing countries",19067
"development of",19100
"development and",19087
"development in",19056
"device that",19090
"device to",19062
"device and",19057
"devices and",19086
"devices that",19069
"devices are",19065
"devil in",19077
"devil and",19073
"devil is",19074
"devils in",19061
"devils and",19046
"devils were",19046
"dialogue with",19106
"dialogue and",19097
"dialogue is",19085
"diamond ring",19070
"diamond in",19069
"diamond jubilee",19067
"dick clark",19129
"dick and",19060
"dick in",19060
"did not",19140
"did you",19130
"did i",19092
"didnt know",19110
"didnt have",19110
"didnt get",19096
"didn’t have",19119
"didn’t know",19113
"didn’t want",19108
"die in",19096
"die for",19092
"die and",19088
"died in",19153
"died of",19109
"died and",19091
"diego county",19104
"diego and",19095
"diego chargers",19082
"dies and",19115
"dies at",19116
"dies in",19105
"diet and",19140
"diet coke",19109
"diet is",19108
"difference between",19183
"difference in",19156
"difference is",19113
"differences between",19176
"differences in",19163
"differences and",19116
"different from",19119
"different than",19097
"different ways",19084
"differently than",19142
"differently and",19131
"differently to",19105
"difficult to",19203
"difficult for",19147
"difficult and",19105
"difficulties in",19142
"difficulties of",19141
"difficulties with",19137
"difficulty of",19165
"difficulty in",19163
"difficulty and",19132
"dig it",19168
"dig the",19152
"dig in",19147
"digging the",19175
"digging into",19159
"digging in",19150
"digital camera",19119
"digital media",19111
"digital age",19108
"dimora and",19197
"dimora was",19134
"dimora is",19133
"dining room",19230
"dining and",19132
"dining area",19128
"dinner and",19164
"dinner at",19159
"dinner with",19160
"dip in",19198
"dip into",19161
"dip and",19149
"direct message",19168
"direct and",19128
"direct the",19121
"directed by",19243
"directed at",19187
"directed to",19178
"direction of",19194
"direction and",19166
"direction the",19141
"directions and",19190
"directions to",19184
"directions for",19160
"directly to",19223
"directly from",19173
"directly into",19167
"director of",19256
"director for",19162
"director and",19151
"directors of",19183
"directors and",19180
"directors in",19157
"dirt and",19199
"dirt road",19177
"dirt on",19172
"dirty and",19177
"dirty word",19135
"dirty dishes",19134
"disability and",19198
"disability insurance",19188
"disability in",19186
"disagree with",19267
"disagree on",19184
"disagree but",19174
"disappear into",19210
"disappear from",19204
"disappear and",19195
"disappeared from",19223
"disappeared and",19215
"disappeared in",19196
"disappointed in",19228
"disappointed that",19225
"disappointed with",19214
"disappointing but",19190
"disappointing to",19191
"disappointing and",19188
"disappointment and",19210
"disappointment of",19207
"disappointment in",19198
"disaster and",19206
"disaster in",19204
"disaster that",19186
"discipline and",19235
"discipline is",19212
"discipline to",19200
"disclosed the",19244
"disclosed to",19233
"disclosed that",19220
"disclosure of",19261
"disclosure forms",19226
"disclosure form",19204
"discount on",19236
"discount code",19217
"discount for",19214
"discounts on",19265
"discounts and",19243
"discounts for",19242
"discover that",19270
"discover the",19260
"discover a",19225
"discovered that",19273
"discovered the",19256
"discovered a",19237
"discovery of",19276
"discovery and",19223
"discovery channel",19213
"discrimination and",19262
"discrimination against",19253
"discrimination in",19240
"discuss the",19300
"discuss how",19222
"discuss it",19213
"discussed the",19284
"discussed in",19248
"discussed at",19232
"discussing the",19304
"discussing this",19213
"discussing it",19211
"discussion of",19281
"discussion about",19264
"discussion on",19264
"discussions with",19287
"discussions about",19286
"discussions on",19252
"disease and",19273
"disease control",19251
"disease in",19236
"dish and",19254
"dish that",19245
"dish is",19243
"dishes and",19278
"dishes that",19249
"dishes are",19249
"dislike the",19279
"dislike of",19252
"dislike about",19246
"dismissed the",19319
"dismissed as",19282
"dismissed by",19265
"disney world",19289
"disney channel",19252
"disney is",19238
"display of",19296
"display at",19265
"display in",19264
"displayed in",19311
"displayed on",19294
"displayed a",19277
"displays of",19311
"displays and",19296
"displays the",19277
"dispute over",19301
"dispute with",19300
"dispute between",19293
"distance from",19288
"distance of",19284
"distance between",19275
"distant future",19282
"distant and",19278
"distant memory",19275
"distraction from",19323
"distraction of",19296
"distraction and",19294
"distribution of",19340
"distribution and",19286
"distribution center",19282
"district court",19292
"district and",19276
"district of",19276
"districts and",19294
"districts to",19285
"districts in",19285
"diversity of",19351
"diversity and",19324
"diversity in",19320
"divide the",19350
"divide between",19303
"divide in",19300
"divided into",19361
"divided by",19305
"divided the",19296
"division of",19347
"division i",19330
"division ii",19305
"divorce and",19327
"divorce case",19293
"divorce from",19294
"dj and",19283
"dj at",19264
"dj is",19255
"dm me",19391
"dm you",19336
"dm us",19336
"dna evidence",19325
"dna and",19313
"dna testing",19311
"dnt wanna",19328
"dnt think",19324
"dnt want",19320
"do you",19363
"do it",19335
"do not",19334
"doc on",19326
"doc rivers",19327
"doc is",19312
"doctor who",19356
"doctor and",19338
"doctor to",19299
"doctors and",19358
"doctors who",19320
"doctors office",19317
"document the",19332
"document that",19311
"document to",19309
"documentary about",19366
"documentary on",19361
"documentary and",19315
"documents and",19355
"documents that",19328
"documents to",19328
"dodgers and",19350
"dodgers are",19340
"dodgers in",19330
"does not",19411
"does it",19365
"does the",19347
"doesnt have",19362
"doesnt mean",19357
"doesnt matter",19342
"doesn’t have",19370
"doesn’t mean",19362
"doesn’t matter",19349
"dog and",19348
"dog is",19349
"dog in",19322
"dogs and",19385
"dogs are",19362
"dogs in",19331
"doin it",19383
"doin the",19360
"doin a",19345
"doing it",19376
"doing a",19376
"doing the",19373
"dollar store",19363
"dollar and",19358
"dollar for",19334
"dollars in",19410
"dollars to",19394
"dollars and",19378
"domain name",19417
"domain of",19401
"domain names",19379
"domestic violence",19431
"domestic product",19388
"domestic and",19358
"don draper",19368
"don and",19349
"don cornelius",19337
"donald trump",19409
"donald driver",19391
"donald payne",19369
"donate to",19445
"donate a",19391
"donate the",19378
"donated to",19463
"donated by",19416
"donated a",19385
"donation to",19445
"donation of",19413
"donation from",19373
"donations to",19429
"donations from",19414
"donations and",19410
"done with",19410
"done in",19389
"done and",19386
"dont know",19432
"dont have",19421
"dont want",19407
"don’t know",19439
"don’t have",19430
"don’t want",19420
"door and",19428
"door to",19428
"door for",19395
"doors and",19435
"doors open",19435
"doors to",19420
"double the",19410
"double play",19398
"double and",19388
"doubled in",19467
"doubled to",19440
"doubled the",19438
"doubt that",19459
"doubt it",19423
"doubt the",19419
"doug collins",19438
"doug fister",19399
"doug martin",19400
"dough into",19437
"dough and",19436
"dough is",19424
"dow jones",19512
"dow is",19425
"dow rose",19422
"down the",19473
"down to",19461
"down and",19439
"download the",19481
"download it",19445
"download a",19432
"downtown and",19425
"downtown cleveland",19405
"downtown portland",19395
"dozen or",19426
"dozen of",19424
"dozen other",19424
"dr seuss",19410
"dr john",19384
"dr pepper",19382
"draft pick",19447
"draft and",19436
"draft of",19434
"drafted in",19485
"drafted by",19481
"drafted a",19459
"drag on",19480
"drag queen",19451
"drag the",19446
"dragged down",19476
"dragged into",19477
"dragged on",19476
"drain the",19498
"drain and",19477
"drain on",19478
"drama and",19476
"drama is",19439
"drama of",19437
"drank a",19480
"drank in",19476
"drank the",19459
"draw a",19484
"draw the",19483
"draw something",19480
"drawing on",19465
"drawing for",19465
"drawing the",19463
"drawn to",19542
"drawn from",19478
"drawn into",19472
"draws a",19492
"draws on",19493
"draws the",19488
"dream of",19506
"dream and",19463
"dream come",19464
"dreamed of",19575
"dreamed about",19499
"dreamed up",19497
"dreams and",19504
"dreams of",19498
"dreams are",19485
"dress up",19497
"dress and",19492
"dress for",19472
"dressed in",19560
"dressed up",19534
"dressed as",19520
"dresses and",19533
"dresses in",19496
"dresses that",19477
"dressing room",19531
"dressing up",19528
"dressing and",19493
"drew a",19531
"drew the",19493
"drew me",19472
"dried up",19522
"dried fruit",19520
"dried cranberries",19499
"drink and",19512
"drink a",19487
"drink it",19485
"drinking water",19515
"drinking and",19514
"drinking a",19512
"drinks and",19551
"drinks are",19493
"drinks at",19492
